"gene";"bart_all";"bart_FEMALE";"current"
"A1CF";-0.000308901117969336;-0.000245828908013146;0.000745474462067591
"A2BP1";-0.000308265239855741;-0.000288638837168268;0.000709925066648616
"A2M";-0.000185967420822284;-0.000251185160613023;0.000718402345172771
"A2ML1";-0.000308901117969336;-0.000251517778017805;0.000502116677896678
"A4GALT";-0.000212915778029273;-0.000221550840354838;0.00071160975669301
"AAAS";-0.000311107585036678;-0.000373654971550548;0.000613003740351729
"AACS";-0.000300827181686027;-0.000274891911410903;0.000706716836052979
"AADACL2";-0.000305929143700266;-0.000249711145775089;0.000745805881388436
"AADACL3";-0.0003081605370204;-0.000250728295782654;0.000712971488660515
"AADAT";-0.000569132321642126;-0.000239917983728953;0.000710880024442473
"AAMP";3.57261277857586e-06;-0.00032828796337375;0.000728543945226044
"AASDHPPT";-0.000313737748468037;-0.00037474713128397;0.000703532242240096
"AATK";-0.000318117130482868;-0.000126360048780405;0.00069190083290141
"ABCA2";-0.000309514109793748;-0.000312183983920394;0.000627230667657573
"ABCA4";-0.000314089005907929;-0.000250626861362726;0.000694192762319203
"ABCA6";-0.000309305578376695;-0.000211074662943928;0.000709439405080892
"ABCB4";-0.000315356214045507;-0.00100436446026147;0.000711738615274456
"ABCB5";-0.000297320293494376;-0.000256181243083762;0.000704765273562663
"ABCB6";-0.000306850139805296;-0.000207544530642909;-0.000241826859676308
"ABCB7";-0.000308901117969336;-0.000657999874729309;0.000697963344387244
"ABCB9";-0.000293135321352334;-0.000237848576378075;0.00070363803635596
"ABCC12";-0.000308946264330188;-0.000255636900039178;0.000710017383076182
"ABCC13";-0.000308381268780276;-0.000245536632207279;0.000716538594451099
"ABCC2";-0.000301996502311201;-0.000191963826971934;0
"ABCC3";-0.00028929969109926;-0.000997465892671064;0.000709096619136433
"ABCC6P2";-0.0003086977587432;-0.00061451121621553;0.000708900352800644
"ABCC8";-0.000304144265847674;-0.000163371244700021;0.000709147321187644
"ABCD1";-0.000155428662766371;-0.000231305048491602;0.000709147321187644
"ABCG1";-5.84918992751778e-05;-0.000250394625750923;0.000732478978956173
"ABCG2";-0.000309538736848521;0;0.000909183956841101
"ABCG4";-0.000308901117969336;-0.000221804452038234;0.000709656876576642
"ABHD1";-0.000308901117969336;-0.000251305587590989;0.000710579783666602
"ABHD11";-0.000308901117969336;-0.000246496617868005;0.000716290835192314
"ABHD12B";-0.000309356787019503;-7.97748938959823e-05;0.000700054478168286
"ABHD13";-0.000308901117969336;6.47995639661965e-05;0.000706915806216248
"ABHD14B";-0.000209206012823191;-0.000321598810232759;0.000709167852897574
"ABHD15";-0.000317662523231567;-0.000237125387784359;0.000674170427857096
"ABHD3";-0.00010336749313973;-0.000305802766307336;0.000717897134807329
"ABHD5";-0.000291525416470027;1.90368769996729e-05;0.000706208491159186
"ABHD6";-0.00030720111702921;-0.000250270587789762;0.000731741713834759
"ABHD8";-0.000323897709436999;-0.000253357353563109;0.000687320076672771
"ABI1";-0.000299540996541205;-0.000250679956576218;0.000713552729542122
"ABI2";0;-0.000264561350983998;0.00070658986271341
"ABL1";-0.000221238721503299;-0.000220789993500118;0
"ABL2";-0.000304975982025918;-0.00025179884045311;-0.000273995895824739
"ABLIM1";-0.000848485312021594;-0.000253630558331254;0
"ABLIM3";-0.000309313832426833;-0.000272065125107731;0.000709147321187644
"ABO";-0.000308890394496767;0.000303636940537416;0.000699091829789565
"ABP1";-0.000311490929895854;-0.000243755586902707;0.000713624456006443
"ABRA";-0.000308954665437792;-0.000252223050134309;0.000710892535941119
"ABTB2";-0.000316656180131758;-0.000252209288879005;0.000726757505640087
"ACAA2";0.000356844584449809;-0.00026705075952911;0.000705562508932156
"ACACA";-0.000318588287399352;-0.000251305587590989;0.000708417683161577
"ACACB";-0.000315069067911696;-0.000213386219988582;0.000711058876536515
"ACAD8";-0.000277752768891045;-0.000251305587590989;0.000746917194405757
"ACADL";-0.000336010921152406;-0.000189532268832591;0.000710261862013602
"ACADM";-0.00033613913054346;-0.000357982678679493;0.000340005062358743
"ACADSB";-0.000306268594733979;-0.00025652324031929;0.000710458045552174
"ACAT1";-0.000306752124390488;0.000243825849440321;0.000710298294230729
"ACAT2";-0.000299823808001724;-0.000245890836789398;0
"ACBD7";-0.000308971401077944;-0.000259648833008935;0.000705861721817591
"ACCN1";-0.000322794040844637;-0.00041414164379253;0.000709886560326449
"ACCN2";-0.000308107216777437;0;0.000747829545344186
"ACE2";0.000140608359185708;-0.000248220958060976;0.000721017248737527
"ACER1";-0.000309119249243524;-0.000251305587590989;0.000709147321187644
"ACER2";-0.000308901117969336;-0.000247261612324138;0.000727690825901869
"ACER3";-9.86773251096566e-05;-0.000386564331042016;0.000729178871026405
"ACHE";-0.000332622674069586;-0.000251305587590989;0.000708433721639379
"ACO1";-0.000825522504650315;-0.000201438004567565;0.00071944691428007
"ACOT1";-0.00029688481171586;-0.000249694618554465;0.000694420224629816
"ACOT11";-0.000308901117969336;-0.000252463848384253;0.000707229728650007
"ACOT7";-0.000308901117969336;-0.000251305587590989;0.000708638066503544
"ACOT9";-0.000309775428400707;-0.000244883220441542;0.000677718534933956
"ACOX1";-0.000307315260559341;5.64579382740719e-05;0.000717772144809701
"ACOXL";-0.000309597315131338;-0.000256446155014389;0.000766867228426843
"ACP2";-0.000308901117969336;-0.000123606787869442;0.000714033644184246
"ACP5";-0.000107313009607847;0.000767277600061134;0.000690804893154549
"ACP6";-0.000297875860555693;-0.000282635535433434;0.000616989056350768
"ACPT";-0.000308901117969336;-0.000251070935284744;0.000709277648378962
"ACSBG2";-0.000310452037440675;-0.000251379793945361;0.000709049009614217
"ACSF3";-0.000311827570046628;-0.000161668718988139;0.000708141404182681
"ACSL3";-0.000302703690938383;-0.000251290281441302;0.0006792779942264
"ACSL4";-0.000324381621186359;-0.000114100968820036;0.000709147321187644
"ACSL5";-0.000137954881361629;-0.000272224948293833;0.000712993113190423
"ACSL6";-0.000310689809373625;-0.000327480488693157;0.000716306615141845
"ACSM3";-0.000358009949862638;-0.000252183762094749;0.0006093180344917
"ACSS2";-0.000323820339986654;-0.000348492088326576;0.000698605614716554
"ACTB";-0.000308901117969336;-0.000281414712867426;0.000680495614243213
"ACTBL2";-0.000311406900284757;-0.00022071910008122;0.000729961888284986
"ACTG1";-0.000134364605773596;-0.000276858787020473;0.000745539456727129
"ACTN1";-0.000221595027656633;-0.000227823284980679;0.000688450328424924
"ACTR10";-0.000308491839069256;-0.000253044368665545;0
"ACTR1A";-0.000281014980853452;-0.000253056898812713;0.00071476829760869
"ACTR3C";-0.000308901117969336;-0.000171196187415394;0.000709147321187644
"ACVR1";-0.000330966750887113;-0.000611251027851134;0.00070844416407583
"ACVR1B";-0.000292215955025626;-0.000258721393927388;0
"ACVR2A";-0.000311175243036318;0;0.000703754681445083
"ACVR2B";-0.000305625630610149;-0.000941922820286843;0.000803109240807446
"ACY3";-0.000319201039269627;-0.000225795075071465;0.000716245278262436
"ACYP1";-0.000313035927839613;-0.000271144009364595;0.000700932876108159
"ACYP2";-0.000308901117969336;0.000205685933835022;0.000709101997456392
"ADA";-0.000314367048440889;-0.000248206785371008;0.00069477773945481
"ADAD2";-0.00030969048702502;-6.48735747584025e-05;0.000761462721384874
"ADAL";-0.000315618605553573;0.000160277828551997;0.0004948100783055
"ADAM19";-0.00036298376341653;-0.000253371555329089;0.000710988823980322
"ADAM2";-0.000308263647512887;-0.000249070874057318;0.000709147321187644
"ADAM32";-0.000314785385053697;-0.0002533190276372;0.000708603114710343
"ADAM7";-0.000312823011366736;-0.000251305587590989;0.000709242311713493
"ADAMTS1";-0.000213133531261261;-0.000238933069742338;0.000756080776833547
"ADAMTS13";-0.000309085742146118;-0.000230302022957344;0.000711974283391986
"ADAMTS16";-0.000318467384995567;-0.000251305587590989;0.000709967431293609
"ADAMTS19";-0.00030433539464243;-0.00026407861995616;0.000709147321187644
"ADAMTS3";-0.000302639044823346;-0.000244391281488569;0.000703976301828048
"ADAMTS4";-0.000280099214708686;-0.000406810288824078;0
"ADAMTS5";-0.000314504932372837;-0.00129137779099242;0.000714717132033525
"ADAMTS7";-0.000301525583551763;-0.00045119181545966;0.00068325947301674
"ADAMTS8";-0.000286838539897137;1.37452398441114e-05;0.000721320706517677
"ADAMTS9";-0.000308901117969336;0;0.000700554430027978
"ADAMTSL1";-0.000309092540789528;-0.00025017386420285;0.000659015956968079
"ADAMTSL2";-0.000342462456185647;3.45091355712479e-05;0.00065506676992809
"ADAP1";-0.000323373577545377;-0.000251305587590989;0.000707016811476757
"ADARB1";-0.000377854872300789;-0.00030419094471064;0.000719663900385768
"ADARB2";-0.000311038903593093;-0.000159941000352452;0.000713292922884242
"ADAT2";-0.000315218139151641;-0.000251305587590989;0.000722042921074155
"ADC";-0.000324244223949042;-0.000251594453669897;0.000731351691154003
